Still Alice
Min søsters barn og gullgraverne
Son of a Gun
Nasty Baby
300: Rise of an Empire
Weekend of a Champion
Land Ho!
Wild
Manglehorn
Hot Pursuit
Repentance
'71
Austenland
Turbo Kid
Forget and Forgive
The Marine 4: Moving Target
In a World...
The Duke of Burgundy
Trigger Point
Her
Black or White
Sauen Shaun
Micke & Veronika
This Is the End
Tusen bitar
Before I Go to Sleep
White Bird in a Blizzard
Admission
Insidious: Chapter 2
Hot Tub Time Machine 2
Night Moves
Dior and I
The World's End
Karsten og Petras vidunderlige jul
Mr. Turner
Devil's Knot
Veronica Mars
Familjen Jul
Grudge Match
Love, Rosie
Captain Phillips
The Voices
Her er Harold
All Inclusive
The DUFF
The Loft
Stray Dog
Made in America
A Most Wanted Man
The Riot Club
Montana
The Art of the Steal
The Pyramid
Blowfly Park
Project Almanac
Bless Me, Ultima
Dear White People
White House Down
Tracks
 7.02.2016,Still Alice
 7.02.2016,Nasty Baby
 7.02.2016,300: Rise of an Empire
 7.02.2016,Hot Pursuit
 7.02.2016,Land Ho!
 7.02.2016,Beyond the Edge
 7.02.2016,Manglehorn
 7.02.2016,Repentance
 7.02.2016,'71
 7.02.2016,Austenland
 7.02.2016,Turbo Kid
 7.02.2016,The Marine 4: Moving Target
 7.02.2016,In a World...
 7.02.2016,Nebraska
 7.02.2016,Trigger Point
 7.02.2016,Third Person
 7.02.2016,Her
 7.02.2016,Black or White
 7.02.2016,Sneakerheadz
 7.02.2016,Sauen Shaun
 7.02.2016,Micke & Veronika
 7.02.2016,This Is the End
 7.02.2016,Tusen bitar
 7.02.2016,Before I Go to Sleep
 7.02.2016,White Bird in a Blizzard
 7.02.2016,Admission
 7.02.2016,Insidious: Chapter 2
 7.02.2016,Hot Tub Time Machine 2
 7.02.2016,Night Moves
 7.02.2016,Dior and I
 7.02.2016,The World's End
 7.02.2016,Karsten og Petras vidunderlige jul
 7.02.2016,Mr. Turner
 7.02.2016,Devil's Knot
 7.02.2016,Veronica Mars
 7.02.2016,Familjen Jul
 7.02.2016,Grudge Match
 7.02.2016,Love, Rosie
 7.02.2016,Captain Phillips
 7.02.2016,The Voices
 7.02.2016,All Inclusive
 7.02.2016,The DUFF
 7.02.2016,The Loft
 7.02.2016,Stray Dog
 7.02.2016,Mamma
 7.02.2016,Made in America
 7.02.2016,The Riot Club
 7.02.2016,Montana
 7.02.2016,The Art of the Steal
 7.02.2016,The Pyramid
 7.02.2016,Blowfly Park
 7.02.2016,R.I.P.D.
 7.02.2016,SvampeBob Firkant Filmen: Svamp på land (Norsk tale)
 7.02.2016,Bless Me, Ultima
 7.02.2016,Dear White People
 7.02.2016,White House Down
 7.02.2016,Tracks
26.02.2016,Beck - Steinar
26.02.2016,Beautiful & Twisted
26.02.2016,Steppeulven
26.02.2016,Dennis Rodman's Big Bang in Pyon Yang
26.02.2016,The Taking
26.02.2016,Hotell Marigold 2
26.02.2016,Terminator: Genisys
26.02.2016,About Alex
26.02.2016,Amy
26.02.2016,Black Sea
26.02.2016,Revenge of the Green Dragons
26.02.2016,Hitchcock/Truffaut
26.02.2016,Son of a Gun
26.02.2016,Wild
26.02.2016,Hot Pursuit
26.02.2016,Weekend of a Champion
26.02.2016,Land Ho!
26.02.2016,Manglehorn
26.02.2016,Bad Asses on the Bayou
26.02.2016,Anna Nicole Smith
26.02.2016,'71
26.02.2016,Stalingrad
26.02.2016,Turbo Kid
26.02.2016,In a World...
26.02.2016,Kingsman: The Secret Service
26.02.2016,Calvary - Golgata
26.02.2016,Nebraska
26.02.2016,Third Person
26.02.2016,Her
26.02.2016,The 50-Year Argument
26.02.2016,Sneakerheadz
26.02.2016,The Imitation Game
26.02.2016,Det regner kjøttboller 2 (Norsk tale)
26.02.2016,Winter's Tale
26.02.2016,This Is the End
26.02.2016,Lego-filmen (Norsk tale)
26.02.2016,Pride
26.02.2016,Admission
26.02.2016,Electric Boogaloo: The Wild, Untold Story of Cannon Films
26.02.2016,Night Moves
26.02.2016,Dior and I
26.02.2016,Birdman
26.02.2016,X+Y
26.02.2016,Devil's Knot
26.02.2016,It Follows
26.02.2016,En due satt på en gren og funderte på tilværelsen
26.02.2016,Veronica Mars
26.02.2016,Stille hjerte
26.02.2016,Familjen Jul
26.02.2016,Exodus: Gods and Kings
26.02.2016,Grudge Match
26.02.2016,The Purge
26.02.2016,The Voices
26.02.2016,All Inclusive
26.02.2016,About Time
26.02.2016,The Giver
26.02.2016,Stray Dog
26.02.2016,Earth to Echo
26.02.2016,Mamma
